"situation","Date","pla","somupvtsem","laimax","laisen_n","hauteur","raint","trg_n","ilevs","iamfs","ilaxs","densite","demande","Plant","Dominance","algorithm"
"usm_1",2018-05-15,"mai",0,0,0,0,0,23.1,181,210,237,3.125,0,"maize","Associated","2.5D"
"usm_1",2018-05-15,"mai",0,0,0,0,0,23.1,181,210,237,3.125,0,"maize","Associated","Beer"
"usm_1",2018-05-15,"sor",0,0,0,0,0,23.1,181,226,237,3.125,0,"sorghum","Principal","2.5D"
"usm_1",2018-05-15,"sor",0,0,0,0,0,23.1,181,226,237,3.125,0,"sorghum","Principal","Beer"
"usm_1",2018-05-16,"mai",0,0,0,0,0,20.7,181,210,237,3.125,0,"maize","Associated","2.5D"
"usm_1",2018-05-16,"mai",0,0,0,0,0,20.7,181,210,237,3.125,0,"maize","Associated","Beer"
"usm_1",2018-05-16,"sor",0,0,0,0,0,20.7,181,226,237,3.125,0,"sorghum","Principal","2.5D"
"usm_1",2018-05-16,"sor",0,0,0,0,0,20.7,181,226,237,3.125,0,"sorghum","Principal","Beer"
"usm_1",2018-05-17,"mai",0,0,0,0,0,20.6,181,210,237,3.125,0,"maize","Associated","2.5D"
"usm_1",2018-05-17,"mai",0,0,0,0,0,20.6,181,210,237,3.125,0,"maize","Associated","Beer"
"usm_1",2018-05-17,"sor",0,0,0,0,0,20.6,181,226,237,3.125,0,"sorghum","Principal","2.5D"
"usm_1",2018-05-17,"sor",0,0,0,0,0,20.6,181,226,237,3.125,0,"sorghum","Principal","Beer"
"usm_1",2018-05-18,"mai",0,0,0,0,0,18.1,181,210,237,3.125,0,"maize","Associated","2.5D"
"usm_1",2018-05-18,"mai",0,0,0,0,0,18.1,181,210,237,3.125,0,"maize","Associated","Beer"
"usm_1",2018-05-18,"sor",0,0,0,0,0,18.1,181,226,237,3.125,0,"sorghum","Principal","2.5D"
"usm_1",2018-05-18,"sor",0,0,0,0,0,18.1,181,226,237,3.125,0,"sorghum","Principal","Beer"
"usm_1",2018-05-19,"mai",0,0,0,0,0,20.8,181,210,237,3.125,0,"maize","Associated","2.5D"
"usm_1",2018-05-19,"mai",0,0,0,0,0,20.8,181,210,237,3.125,0,"maize","Associated","Beer"
"usm_1",2018-05-19,"sor",0,0,0,0,0,20.8,181,226,237,3.125,0,"sorghum","Principal","2.5D"
"usm_1",2018-05-19,"sor",0,0,0,0,0,20.8,181,226,237,3.125,0,"sorghum","Principal","Beer"
"usm_1",2018-05-20,"mai",0,0,0,0,0,19.4,181,210,237,3.125,0,"maize","Associated","2.5D"
"usm_1",2018-05-20,"mai",0,0,0,0,0,19.4,181,210,237,3.125,0,"maize","Associated","Beer"
"usm_1",2018-05-20,"sor",0,0,0,0,0,19.4,181,226,237,3.125,0,"sorghum","Principal","2.5D"
"usm_1",2018-05-20,"sor",0,0,0,0,0,19.4,181,226,237,3.125,0,"sorghum","Principal","Beer"
"usm_1",2018-05-21,"mai",0,0,0,0,0,14.3,181,210,237,3.125,0,"maize","Associated","2.5D"
"usm_1",2018-05-21,"mai",0,0,0,0,0,14.3,181,210,237,3.125,0,"maize","Associated","Beer"
"usm_1",2018-05-21,"sor",0,0,0,0,0,14.3,181,226,237,3.125,0,"sorghum","Principal","2.5D"
"usm_1",2018-05-21,"sor",0,0,0,0,0,14.3,181,226,237,3.125,0,"sorghum","Principal","Beer"
"usm_1",2018-05-22,"mai",0,0,0,0,0,22,181,210,237,3.125,0,"maize","Associated","2.5D"
